OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
67,66,2500,1000000,0,11734,11734,288.8736,1537.661681,722184,182,0,31,1,69
68,67,2500,1000000,0,6695,6695,112.2096,635.8420207,280524,178,0,26,1,48
69,68,2471,988400,0,4557,4557,172.1295022,686.6456206,425332,227,0,37,1,152
70,69,1072,428800,0,711,711,17.75186567,64.5703076,19030,84,0,20,1,36
71,70,2444,977600,0,17475,17475,417.7250409,2462.427389,1020920,195,0,25,1,87
72,71,2109,843600,0,323,323,9.326695116,27.82915353,19670,97,0,34,1,19
73,72,1820,728000,0,15664,15664,145.8686813,1185.948261,265481,156,0,18,1,85
74,73,2178,871200,0,11887,11887,376.8879706,1652.842094,820862,211,0,27,1,534
75,74,282,112800,0,1133,1133,140.4007092,294.1238445,39593,60,0,6,2,705
76,75,38,15200,0,960,960,128.3157895,322.5204282,4876,12,0,1,0,949
77,76,182,72800,0,185,185,20.17032967,46.94968781,3671,29,0,11,1,55
78,77,113,45200,0,174,174,11.19469027,36.81089162,1265,16,0,4,1,10
79,78,833,333200,0,284,284,16.07563025,42.97926907,13391,76,0,14,1,45
80,79,2500,1000000,0,495,495,13.19,47.93344031,32975,118,0,34,1,26
81,80,2500,1000000,0,1713,1713,47.1344,207.5352373,117836,164,0,36,1,55
82,81,2500,1000000,0,3340,3340,84.3988,410.4020942,210997,164,0,48,1,38
83,82,527,210800,0,4646,4646,48.81214421,358.5694706,25724,54,0,11,1,36
84,83,2500,1000000,0,112459,112459,2605.9848,16400.31716,6514962,236,0,27,1,146
85,84,2500,1000000,0,22759,22759,555.916,3363.26366,1389790,155,0,42,1,40
86,85,2500,1000000,0,21975,21975,568.0132,2885.917179,1420033,155,0,26,1,40
87,86,2500,1000000,0,14350,14350,425.396,2293.459988,1063490,187,0,22,1,74
88,87,2500,1000000,0,11746,11746,105.654,850.5421569,264135,153,0,29,1,40
89,88,2500,1000000,0,7965,7965,148.7736,960.3836171,371934,175,0,18,1,53
90,89,1295,518000,0,450,450,16.05637066,48.60934722,20793,103,0,35,1,48
91,90,1651,660400,0,19017,19017,212.0357359,1900.418289,350071,128,0,15,1,60
92,91,1787,714800,0,18404,18404,500.8673755,2929.730692,895050,115,0,20,1,33
93,92,3,1200,0,0,0,0,0,0,1,0,0,0,0
94,93,1257,502800,0,312,312,16.78838504,43.80534536,21103,90,0,17,1,72
95,94,957,382800,0,13502,13502,185.9446186,1437.734739,177949,95,0,14,1,70
96,95,2500,1000000,0,16311,16311,541.2988,2739.216749,1353247,202,0,32,1,112
97,96,2500,1000000,0,18050,18050,566.9196,3023.622965,1417299,191,0,26,1,99
98,97,2500,1000000,0,18138,18138,64.0112,642.7758918,160028,168,0,20,1,50
99,98,2286,914400,0,2095,2095,49.07742782,255.6002108,112191,122,0,39,1,25
100,99,2500,1000000,0,140388,140388,3183.6776,19429.96622,7959194,193,0,32,1,71
101,100,2500,1000000,0,23419,23419,398.1856,2740.631145,995464,206,0,32,1,122
102,101,2500,1000000,0,907,907,26.3756,96.68680636,65939,146,0,53,1,37
103,102,2500,1000000,0,7364,7364,131.7416,809.3859774,329354,177,0,32,1,47
104,103,2500,1000000,0,5604,5604,169.4616,830.6921926,423654,198,0,42,1,67
105,104,2500,1000000,0,2953,2953,87.8268,395.1886891,219567,169,0,32,1,48
106,105,2500,1000000,0,1238,1238,28.3932,114.3796774,70983,167,0,19,1,70
107,106,2500,1000000,0,20941,20941,482.0508,2979.67362,1205127,175,0,33,1,66
108,107,1835,734000,0,24280,24280,337.7749319,2677.238265,619817,121,0,31,1,25
109,108,1497,598800,0,21871,21871,564.9639279,3282.667165,845751,156,0,23,1,133
110,109,300,120000,0,740,740,41.73333333,135.8614572,12520,37,0,11,1,25
111,110,2500,1000000,0,1792,1792,55.342,250.2597743,138355,152,0,35,1,41
112,111,2500,1000000,0,2529,2529,87.43,405.3622157,218575,174,0,28,1,53
113,112,2500,1000000,0,23925,23925,704.0296,3557.302809,1760074,202,0,24,1,133
114,113,2500,1000000,0,26365,26365,689.9032,4080.421644,1724758,160,0,23,1,36
115,114,2500,1000000,0,171810,171810,4188.722,22921.88437,10471805,208,0,28,1,90
116,115,2500,1000000,0,142519,142519,222.1992,4935.805812,555498,176,0,23,1,56
117,116,2500,1000000,0,10565,10565,327.0372,1717.468416,817593,159,0,27,1,38
118,117,2500,1000000,0,9267,9267,243.3504,1367.250808,608376,168,0,30,1,41
119,118,2500,1000000,0,682,682,23.6348,85.01010192,59087,149,0,18,1,37
120,119,2444,977600,0,441,441,11.52454992,38.81586861,28166,116,0,25,1,21
121,120,2500,1000000,0,1261,1261,25.5144,110.5325662,63786,146,0,31,1,31
122,121,2500,1000000,0,49908,49908,833.8604,6148.781694,2084651,177,0,39,1,61
123,122,2143,857200,0,46553,46553,1392.458703,6825.567359,2984039,163,0,17,1,85
124,123,831,332400,0,868,868,19.84957882,61.6862934,16495,74,0,19,1,45
125,124,300,120000,0,204,204,11.72333333,31.65217405,3517,36,0,26,1,41
126,125,2500,1000000,0,182,182,10.6172,26.66910318,26543,117,0,33,1,30
127,126,2500,1000000,0,439,439,13.3732,41.49053292,33433,133,0,26,1,29
128,127,2500,1000000,0,441,441,20.8884,67.05234929,52221,145,0,39,1,33
129,128,2500,1000000,0,1986,1986,52.212,212.8571593,130530,162,0,52,1,35
130,129,2500,1000000,0,196348,196348,5125.35,29421.79378,12813375,198,0,27,1,84
131,130,2500,1000000,0,11614,11614,393.2084,2027.415896,983021,162,0,22,1,39
132,131,2500,1000000,0,10723,10723,113.3724,672.6368239,283431,168,0,32,1,51
133,132,2500,1000000,0,1783,1783,46.2412,181.8476984,115603,181,0,21,1,49
134,133,2500,1000000,0,742,742,21.8244,79.9715047,54561,150,0,30,1,32
135,134,1425,570000,0,505,505,15.89964912,45.46213886,22657,107,0,14,1,51
136,135,1751,700400,0,56741,56741,939.843518,6822.54877,1645666,137,0,40,1,46
137,136,2500,1000000,0,52892,52892,1682.5024,9009.162684,4206256,218,0,19,1,179
138,137,2313,925200,0,1798,1798,37.44487678,179.2101555,86610,167,0,38,1,51
139,138,2215,886000,0,674,674,9.568397291,36.7562245,21194,87,0,44,1,21
140,139,2136,854400,0,1568,1568,38.12874532,153.5339902,81443,148,0,25,1,43
141,140,1584,633600,0,12877,12877,550.3074495,2132.632993,871687,135,0,16,1,72
142,141,300,120000,0,8627,8627,296.5933333,1470.182495,88978,41,0,21,1,56
143,142,2500,1000000,0,11774,11774,296.3592,1660.321625,740898,175,0,31,1,69
144,143,2500,1000000,0,1677,1677,47.834,217.202873,119585,143,0,37,1,32
145,144,2500,1000000,0,3484,3484,100.4028,467.4739348,251007,183,0,20,1,58
146,145,2500,1000000,0,198856,198856,529.6744,9722.390173,1324186,167,0,34,1,49
147,146,2500,1000000,0,198200,198200,6135.2272,33893.69163,15338068,215,0,29,1,105
148,147,2500,1000000,0,8207,8207,253.8188,1273.776421,634547,185,0,33,1,54
149,148,2500,1000000,0,3115,3115,109.6176,426.555379,274044,188,0,21,1,65
150,149,2500,1000000,0,1747,1747,60.6776,253.9027831,151694,159,0,19,1,48
151,150,2500,1000000,0,62318,62318,558.9676,5692.106007,1397419,138,0,31,1,25
152,151,1612,644800,0,60513,60513,1500.236352,9112.386409,2418381,151,0,20,1,163
153,152,1586,634400,0,53388,53388,517.5889029,5147.548895,820896,118,0,23,1,47
154,153,2500,1000000,0,798,798,17.5748,72.54920816,43937,132,0,39,1,35
155,154,2500,1000000,0,910,910,20.9228,91.87178914,52307,123,0,37,1,25
156,155,2500,1000000,0,898,898,34.008,129.3277508,85020,157,0,38,1,36
157,156,2500,1000000,0,3202,3202,84.072,358.7603897,210180,172,0,37,1,49
158,157,2004,801600,0,21783,21783,625.9041916,3451.442387,1254312,138,0,15,1,35
159,158,300,120000,0,4174,4174,108.0333333,588.6546573,32410,40,0,7,1,35
160,159,2500,1000000,0,18028,18028,481.3436,2235.79297,1203359,171,0,48,1,56
161,160,2500,1000000,0,19970,19970,660.5756,3448.611084,1651439,171,0,27,1,52
162,161,2500,1000000,0,20058,20058,131.9108,1337.077279,329777,152,0,34,1,48
163,162,2500,1000000,0,206454,206454,5530.9864,32553.90544,13827466,230,0,25,2,144
164,163,2500,1000000,0,1319,1319,41.9704,155.7451917,104926,170,0,36,1,61
165,164,2500,1000000,0,346,346,12.8568,39.09762517,32142,128,0,46,1,34
166,165,2500,1000000,0,70464,70464,2231.4868,12150.86357,5578717,175,0,26,1,66
167,166,2500,1000000,0,65845,65845,2214.2932,11640.8519,5535733,204,0,29,1,124
168,167,2500,1000000,0,62877,62877,1668.4288,9965.51186,4171072,193,0,39,1,109
169,168,2500,1000000,0,581,581,20.3788,73.37171738,50947,139,0,47,1,36
170,169,2500,1000000,0,263,263,8.868,28.19438554,22170,100,0,32,1,21
171,170,2500,1000000,0,1934,1934,55.7712,253.562405,139428,159,0,36,1,44
172,171,2500,1000000,0,1355,1355,52.8104,212.5182026,132026,153,0,20,1,27
173,172,2500,1000000,0,6288,6288,164.8832,762.6362708,412208,179,0,33,1,66
174,173,2500,1000000,0,29299,29299,689.7944,4294.016022,1724486,166,0,47,1,41
175,174,866,346400,0,28587,28587,814.5138568,3877.04164,705369,97,0,11,1,108
176,175,300,120000,0,14432,14432,532.3533333,2688.960272,159706,35,0,20,1,35
177,176,2500,1000000,0,15900,15900,509.0344,2692.447656,1272586,178,0,28,1,64
178,177,2500,1000000,0,16024,16024,43.9272,713.7681699,109818,114,0,23,1,22
179,178,2500,1000000,0,21210,21210,681.9036,3647.353619,1704759,160,0,27,1,32
180,179,2500,1000000,0,210953,210953,9625.144,42951.08698,24062860,199,0,24,1,128
181,180,2500,1000000,0,580,580,12.238,51.41909136,30595,109,0,37,1,20
182,181,2500,1000000,0,72658,72658,2151.89,12177.07454,5379725,217,0,34,1,97
183,182,2500,1000000,0,2484,2484,21.6284,104.8780812,54071,137,0,26,1,37
