OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
51,50,2500,1000000,833.5466309,2069.395996,1235.849365,1475.845004,266.2427488,3689612.509,1464.923218,1848.39386
52,51,2290,916000,340,1287.012085,947.012085,819.5617243,203.384837,1876796.349,829.6987305,1088.117676
53,52,2438,975200,100,885.4377441,785.4377441,576.3945809,173.3777756,1405249.988,601.6643677,781.0249634
54,53,1942,776800,260,937.4433594,677.4433594,604.4806607,141.66452,1173901.443,608.2762451,787.1467285
55,54,391,156400,356.0898743,884.0814209,527.9915466,613.5989474,109.0984456,239917.1884,608.2762451,764.1989136
56,55,1163,465200,0,553.1726685,553.1726685,167.70609,142.07236,195042.1827,128.0624847,386.2641602
57,56,2356,942400,0,611.8823242,611.8823242,309.1165271,174.6549684,728278.5379,325.576416,528.3937988
58,57,2371,948400,72.11102295,792.4645386,720.3535156,505.5744616,149.8427038,1198717.048,518.8448486,699.7142334
59,58,2500,1000000,0,921.9544678,921.9544678,536.8579688,228.3485079,1342144.922,588.2176514,800
60,59,2500,1000000,640,1576.324829,936.3248291,1033.230204,219.8635609,2583075.51,1002.097778,1360.147095
61,60,2338,935200,438.6342468,1596.997192,1158.362946,1081.886698,256.0555712,2529451.101,1082.404785,1436.941162
62,61,766,306400,216.3330841,1107.248901,890.9158173,539.635654,177.3246004,413360.9109,518.8448486,751.6648254
63,62,353,141200,200,667.5327759,467.5327759,367.8747981,100.4275694,129859.8037,360.5551147,500.0706665
64,63,200,80000,456.0701599,1328.156616,872.0864563,874.8697214,251.7994595,174973.9443,863.3548889,1233.693604
65,64,350,140000,1329.661621,2343.501709,1013.840088,1973.283609,286.9700383,690649.2632,2079.903687,2275.196777
66,65,1972,788800,1305.067017,2446.630371,1141.563354,1941.380201,265.3588776,3828401.756,1946.175781,2302.398828
67,66,2500,1000000,382.0994568,1767.823486,1385.72403,1113.218785,287.6499555,2783046.962,1138.77124,1476.468677
68,67,2500,1000000,260,1414.213623,1154.213623,827.097625,277.291037,2067744.063,828.7339478,1200.666504
69,68,2470,988000,724.7068481,2056.015625,1331.308777,1419.707977,287.5465563,3506678.702,1431.293152,1796.106934
70,69,1073,429200,1620.864014,2263.183594,642.3195801,1909.651067,123.8118054,2049055.595,1906.724976,2071.134863
71,70,2442,976800,764.1989136,2094.755371,1330.556458,1444.173279,276.4752309,3526671.147,1458.355225,1808.225378
72,71,2108,843200,184.3908844,1484.991577,1300.600693,862.9775152,252.7953367,1819156.602,849.7058105,1208.801025
73,72,1804,721600,0,806.225769,806.225769,296.4017884,185.4283524,534708.8262,268.7003174,572.7128296
74,73,2177,870800,0,651.152832,651.152832,203.7667857,149.4380749,443600.2925,181.1076965,413.8555603
75,74,278,111200,240,1080,840,721.6991298,245.9704138,200632.3581,763.2818298,1000
76,75,34,13600,688.1860352,935.0935669,246.9075317,824.7065878,66.334148,28040.02399,834.9848938,903.7351257
77,76,184,73600,134.1640778,503.5871277,369.4230499,333.7796439,92.26531601,61415.45448,330.4453583,460
78,77,110,44000,310.48349,509.901947,199.418457,407.8657221,49.37893803,44865.22943,407.9215698,471.2091278
79,78,870,348000,60,765.5063477,705.5063477,455.2698679,175.8242734,396084.7851,465.1881409,680
80,79,2500,1000000,0,664.8308105,664.8308105,257.3786698,163.626588,643446.6745,260,480.4580872
81,80,2500,1000000,63.24555206,1418.731812,1355.486259,765.2372482,281.4092283,1913093.121,777.9459839,1134.54834
82,81,2500,1000000,945.3041992,1620.123413,674.8192139,1362.105576,150.2102384,3405263.939,1378.259644,1550.483765
83,82,536,214400,120,1348.480591,1228.480591,695.0208526,389.7125416,372531.177,658.7861328,1190.462097
84,83,2500,1000000,0,600,600,206.7166306,131.4634341,516791.5764,196.9771576,380
85,84,2500,1000000,280,1363.084717,1083.084717,812.0104546,282.3756036,2030026.137,810.1851501,1201.499023
86,85,2500,1000000,1280,2285.432129,1005.432129,1770.927453,264.0086886,4427318.632,1793.041992,2124.617676
87,86,2500,1000000,1796.106934,2521.269531,725.1625977,2182.129824,171.755585,5455324.559,2197.908203,2401.424585
88,87,2500,1000000,1290.736206,2352.870605,1062.134399,1917.665364,264.6951988,4794163.409,1937.782227,2254.675049
89,88,2500,1000000,1260,2318.706543,1058.706543,1783.200378,285.7295266,4458000.945,1782.470154,2178.761182
90,89,1283,513200,1441.388184,2298.173096,856.7849121,2016.15332,213.7334677,2586724.71,2069.395996,2247.006836
91,90,1666,666400,1560,2267.156738,707.1567383,1882.239294,168.316873,3135810.665,1903.785645,2097.474243
92,91,1744,697600,860,1631.931396,771.9313965,1234.858854,199.1184319,2153593.842,1236.28479,1506.439514
93,92,6,2400,763.675354,796.4923096,32.81695557,782.7831014,10.82996736,4696.698608,783.0602112,794.4784241
94,93,1261,504400,460,1130.309692,670.3096924,777.7351536,159.0625962,980724.0287,786.3841553,984.8858032
95,94,956,382400,80,602.9925537,522.9925537,335.6857447,137.5457971,320915.572,334.0637054,536.0915222
96,95,2500,1000000,0,764.1989136,764.1989136,292.7717256,212.0794112,731929.314,286.3564148,600
97,96,2500,1000000,0,1168.246582,1168.246582,600.2366793,276.3272134,1500591.698,627.6942139,942.6345825
98,97,2500,1000000,940,1807.097168,867.097168,1422.022206,220.9399041,3555055.515,1456.708618,1692.075623
99,98,2283,913200,584.123291,1659.397461,1075.27417,1117.966437,267.660354,2552317.376,1116.064575,1479.378149
100,99,2500,1000000,0,826.8010864,826.8010864,461.0250881,168.2698682,1152562.72,483.3218384,655.1335449
101,100,2500,1000000,400,1421.26709,1021.26709,894.035476,250.9873459,2235088.69,881.4758606,1244.925708
102,101,2500,1000000,800.9993896,1855.262817,1054.263428,1362.188691,252.0981649,3405471.727,1384.918701,1694.461548
103,102,2500,1000000,800,2022.374878,1222.374878,1403.616848,285.4115318,3509042.119,1406.698242,1780.146008
104,103,2500,1000000,1265.069214,2495.756348,1230.687134,1970.006084,276.8222887,4925015.21,1994.091309,2334.523438
105,104,2500,1000000,1528.005249,2580.310059,1052.30481,2180.106018,228.3116736,5450265.045,2232.12915,2442.948975
106,105,2500,1000000,945.9386597,2247.220459,1301.281799,1605.121899,287.0255865,4012804.747,1612.451538,1977.70575
107,106,2500,1000000,920,1930.181396,1010.181396,1438.52937,277.7100093,3596323.424,1442.220459,1808.568457
108,107,1847,738800,554.6170044,1749.285522,1194.668518,1195.573533,252.1915305,2208224.315,1210.784912,1523.154663
109,108,1481,592400,172.0465088,1015.480164,843.4336548,576.0151071,211.1387872,853078.3736,556.0575562,863.4813232
110,109,317,126800,316.2277527,1183.38501,867.1572571,780.7472647,258.5416891,247496.8829,776.6594849,1121.07085
111,110,2500,1000000,280.7133789,1224.091553,943.3781738,784.3412812,189.1224869,1960853.203,800.7496033,1012.837537
112,111,2500,1000000,0,1092.52002,1092.52002,534.1815056,264.1842522,1335453.764,533.1038208,878.6353149
113,112,2500,1000000,412.3105774,1549.322388,1137.01181,980.0020027,253.6310604,2450005.007,965.2978821,1338.939807
114,113,2500,1000000,460,1479.594482,1019.594482,859.0492099,219.9252025,2147623.025,828.7339478,1180.677734
115,114,2500,1000000,0,709.3659058,709.3659058,253.5631237,160.1913301,633907.8092,260,460.4345703
116,115,2500,1000000,60,1107.248901,1047.248901,596.7528279,250.35779,1491882.07,601.6643677,917.6055908
117,116,2500,1000000,0,1145.60022,1145.60022,539.4460672,276.4275321,1348615.168,566.3920898,884.0814209
118,117,2500,1000000,0,1236.931641,1236.931641,626.505044,276.4264634,1566262.61,655.1335449,965.4014893
119,118,2500,1000000,980,2109.502197,1129.502197,1521.646579,280.523232,3804116.448,1524.532715,1888.724438
120,119,2444,977600,893.7561035,2206.173096,1312.416992,1607.946161,277.6110404,3929820.417,1608.788391,1987.792676
121,120,2500,1000000,220,1500,1280,849.9180294,276.6623635,2124795.074,857.4368896,1221.146973
122,121,2500,1000000,0,1104.35498,1104.35498,520.9297672,264.0803243,1302324.418,533.6665649,868.3317261
123,122,2119,847600,460,1256.343872,796.3438721,863.0717638,172.4897602,1828849.068,868.3317261,1088.301392
124,123,825,330000,0,528.0151367,528.0151367,257.077975,124.8363999,212089.3294,260.7680969,421.9004517
125,124,332,132800,840,1127.120239,287.1202393,948.3697944,63.28009753,314858.7717,943.3981323,1037.689697
126,125,2500,1000000,280,1291.20105,1011.20105,863.1393007,243.1292411,2157848.252,905.5385132,1140.175415
127,126,2500,1000000,0,950.7891235,950.7891235,408.9914705,249.3259255,1022478.676,393.9543152,760.2631226
128,127,2500,1000000,0,931.4505005,931.4505005,467.8833013,212.4103962,1169708.253,500,720.27771
129,128,2500,1000000,0,854.4003906,854.4003906,397.6079405,238.8021892,994019.8513,404.9691467,721.1102295
130,129,2500,1000000,0,787.9086304,787.9086304,358.4941362,200.5441454,896235.3406,349.8571167,644.0496826
131,130,2500,1000000,40,960,920,578.4443845,237.20745,1446110.961,594.6427612,874.7570801
132,131,2500,1000000,0,835.7033081,835.7033081,347.6604807,231.6014469,869151.2018,320,683.5788147
133,132,2500,1000000,0,1073.312622,1073.312622,549.6391849,267.3271525,1374097.962,543.3231201,921.3034058
134,133,2500,1000000,980,1807.097168,827.097168,1445.100149,219.0874503,3612750.374,1489.295166,1705.837061
135,134,1421,568400,791.9595947,1667.093262,875.133667,1246.482255,180.0756437,1771251.284,1255.388428,1475.127075
136,135,1754,701600,0,865.5634155,865.5634155,281.6956332,187.5501267,494094.1407,260.7680969,551.2889771
137,136,2500,1000000,0,1049.952393,1049.952393,443.0986716,247.3175433,1107746.679,444.072052,777.9716919
138,137,2312,924800,100,1117.318237,1017.318237,641.7677047,221.6159394,1483766.933,670.5221558,903.7477661
139,138,2216,886400,0,526.1178589,526.1178589,140.5816555,105.260431,311528.9486,127.2767944,277.848877
140,139,2144,857600,0,509.1168823,509.1168823,119.5675588,117.2749431,256352.8461,89.44271851,286.3564148
141,140,1568,627200,320,1239.677368,919.6773682,743.2905931,230.3960915,1165479.65,723.6016235,1081.017957
142,141,350,140000,921.9544678,1664.692139,742.7376709,1269.799809,198.5156043,444429.9332,1254.184692,1556.290198
143,142,2500,1000000,904.4335327,1960.102051,1055.668518,1467.625307,234.0470759,3669063.267,1470.782104,1775.578723
144,143,2500,1000000,820,1657.588623,837.588623,1231.888923,195.0013352,3079722.308,1247.236938,1480.540405
145,144,2500,1000000,220,1323.782471,1103.782471,872.8916522,259.5266532,2182229.131,910.8237915,1180.220264
146,145,2500,1000000,220,1140,920,653.7942484,205.4469297,1634485.621,640.312439,947.9025757
147,146,2500,1000000,0,600.333252,600.333252,241.5136012,141.9187805,603784.003,240.415947,436.8065796
148,147,2500,1000000,400,1328.156616,928.1566162,861.4209973,210.3998707,2153552.493,880,1132.254395
149,148,2500,1000000,0,1165.160889,1165.160889,543.2300969,276.0332263,1358075.242,572.7128296,886.0698303
150,149,2500,1000000,0,1288.875488,1288.875488,662.4804163,281.6625245,1656201.041,693.3974609,1006.816516
151,150,2500,1000000,980,1976.866211,996.8662109,1496.059379,235.8102832,3740148.448,1529.705811,1786.393066
152,151,1612,644800,950.3683472,1824.28064,873.9122925,1343.137452,184.0963345,2165137.572,1334.166382,1598.07384
153,152,1591,636400,184.3908844,1203.328735,1018.937851,781.3246536,248.7407274,1243087.524,806.225769,1091.421143
154,153,2500,1000000,438.6342468,1792.874756,1354.240509,1119.678702,282.8264556,2799196.754,1119.196106,1502.704236
