OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
49,48,2248,899200,0.037101593,8.340795517,8.303693924,2.103558893,1.218083254,4728.800392,1.943558455,3.55554409
50,49,2500,1000000,0.062256895,9.279177666,9.216920771,2.205706305,1.279070991,5514.265763,1.923491061,3.82449646
51,50,2500,1000000,0.104871117,7.708040714,7.603169598,2.169576863,1.163009726,5423.942158,2.03026104,3.767922163
52,51,2296,918400,0.08563187,7.149268627,7.063636757,2.272555661,1.10082669,5217.787797,2.173267126,3.663067818
53,52,2438,975200,0.017605482,8.378912926,8.361307444,1.842108043,1.217507216,4491.059409,1.55885005,3.513222218
54,53,1970,788000,0.074099809,10.07358837,9.999488562,2.99723182,1.729279778,5904.546686,2.751155615,5.334366798
55,54,404,161600,0.224317655,6.046561241,5.822243586,2.482342855,1.323266174,1002.866514,2.18325901,4.546731234
56,55,1135,454000,0.135003656,9.245236397,9.110232741,1.939223715,1.219420147,2201.018917,1.69145,3.549527121
57,56,2326,930400,0.089249536,6.833148956,6.74389942,2.272152051,1.353348013,5285.025671,2.055405974,4.209690571
58,57,2324,929600,0.14656046,7.204790592,7.058230132,3.01674844,1.385198642,7010.923376,2.97825098,4.884828568
59,58,2500,1000000,0.225517869,8.332875252,8.107357383,3.260446683,1.404382035,8151.116707,3.166533709,5.127220631
60,59,2500,1000000,0.048679002,10.02759552,9.978916518,3.150592452,1.676946028,7876.481131,2.947687387,5.289778376
61,60,2344,937600,0,11.87690639,11.87690639,2.667250863,1.859895483,6252.036023,2.162461519,5.194864893
62,61,774,309600,0.069778368,6.49664259,6.426864222,2.248286595,1.277925588,1740.173825,2.039536953,4.040681028
63,62,379,151600,0.100020811,7.18640852,7.086387709,2.442065869,1.394412149,925.5429645,2.21137929,4.55112648
64,63,206,82400,0.130492032,4.607486725,4.476994693,1.472346113,0.856404654,303.3032993,1.378905058,2.505329609
65,64,354,141600,0.238699973,5.103914261,4.865214288,1.938563559,1.013266647,686.2514997,1.784433901,3.376365662
66,65,1992,796800,0.056377787,5.964951992,5.908574205,1.668548696,0.941748833,3323.749003,1.540800691,2.928692818
67,66,2500,1000000,0.039905686,7.528345585,7.488439899,2.095948235,1.164501962,5239.870586,1.967854619,3.621127844
68,67,2500,1000000,0.068833262,7.590181351,7.521348089,2.039852179,1.084238691,5099.630446,1.871486545,3.468129635
69,68,2462,984800,0.06220071,7.946538925,7.884338215,1.861918661,1.019909477,4584.043743,1.710558593,3.20896883
70,69,1080,432000,0.032246251,7.782874584,7.750628334,2.076106167,1.223188199,2242.194661,1.844387054,3.615139389
71,70,2430,972000,0.062578656,9.522595406,9.46001675,2.65074211,1.607883432,6441.303327,2.329150081,4.858364058
72,71,2068,827200,0.037141878,6.85322094,6.816079061,2.320566327,1.134713296,4798.931164,2.223372459,3.858143091
73,72,1789,715600,0.045397561,6.593004704,6.547607142,2.017673209,1.141550996,3609.617371,1.91242671,3.623751163
74,73,2173,869200,0.045213148,8.581321716,8.536108568,2.218686553,1.492256182,4821.205879,1.862578273,4.166085625
75,74,259,103600,0.097160511,5.616797447,5.519636936,2.007172345,1.121682616,519.8576373,1.926501989,3.483442307
76,75,28,11200,0.477315962,2.979726553,2.502410591,0.915291633,0.561801915,25.62816572,0.735067129,1.41343956
77,76,171,68400,0.700436831,7.480204582,6.779767752,4.066941367,1.55504727,695.4469738,4.087459087,6.003760815
78,77,108,43200,1.214543462,6.552677631,5.33813417,3.532002334,1.210277289,381.4562521,3.417472839,5.154825687
79,78,860,344000,0.150329441,5.946397781,5.796068341,2.007350774,0.989702903,1726.321666,1.968449593,3.356843233
80,79,2500,1000000,0.045813624,9.562664986,9.516851362,2.375237121,1.466487015,5938.092804,2.077961326,4.267801332
81,80,2500,1000000,0.033279862,7.809059143,7.775779281,1.903315861,1.058751599,4758.289653,1.734982014,3.246559811
82,81,2500,1000000,0.048101366,6.165990353,6.117888987,1.864167866,1.032500919,4660.419665,1.704721212,3.275199175
83,82,540,216000,0.243167162,7.15301466,6.909847498,2.910160568,1.446946418,1571.486707,2.729520798,5.097728729
84,83,2500,1000000,0.030653445,8.60466671,8.574013265,2.344897499,1.391748601,5862.243748,2.092402458,4.259952736
85,84,2500,1000000,0.033279862,7.785188198,7.751908336,1.851037457,1.148841908,4627.593643,1.644137263,3.313496351
86,85,2500,1000000,0.026662441,11.82827568,11.80161324,2.310786626,1.776250834,5776.966565,1.845040083,4.343473291
87,86,2500,1000000,0.022856236,12.2746172,12.25176096,2.185710854,1.502345602,5464.277136,1.893590629,3.854603696
88,87,2500,1000000,0.098804876,10.36698818,10.26818331,1.915837576,1.233167608,4789.59394,1.667236328,3.395094466
