OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
50,49,2500,1000000,1082.404785,2378.571045,1296.16626,1770.758685,279.4387111,4426896.712,1789.636841,2135.603027
51,50,2500,1000000,1221.965576,2062.425781,840.4602051,1701.873264,183.7377052,4254683.16,1720.465088,1941.6797
52,51,2500,1000000,0,806.225769,806.225769,407.3023484,212.2168631,1018255.871,423.7923889,680.2940674
53,52,2500,1000000,0,360.5551147,360.5551147,117.5578587,83.94849465,293894.6468,100,240.8318939
54,53,2500,1000000,0,313.04953,313.04953,87.59907526,84.73489243,218997.6881,63.24555206,216.3330841
55,54,2500,1000000,940.2127686,1866.976196,926.7634277,1399.348988,195.5987898,3498372.47,1404.279175,1659.578198
56,55,2500,1000000,0,905.5385132,905.5385132,291.3711003,222.6351322,728427.7509,260.7680969,616.2789734
57,56,2500,1000000,313.04953,1226.539795,913.4902649,883.6369994,184.6147755,2209092.499,916.0786133,1092.886108
58,57,2500,1000000,0,977.5479736,977.5479736,425.2077014,236.2788411,1063019.253,412.3105774,754.0026367
59,58,2500,1000000,0,608.2762451,608.2762451,216.3000576,145.5468487,540750.1439,188.6796265,444.072052
60,59,2500,1000000,0,862.7861938,862.7861938,246.5708147,216.3854737,616427.0367,200.9975128,576.8881836
61,60,2500,1000000,0,912.1403198,912.1403198,407.1021022,211.7920638,1017755.255,404.7220612,698.5699463
62,61,2500,1000000,620,1797.887695,1177.887695,1193.919606,283.7685876,2984799.016,1198.749329,1574.471338
63,62,2500,1000000,0,340,340,107.3790619,80.93736465,268447.6548,100,223.6067963
64,63,2500,1000000,2448.836426,3201.312256,752.4758301,2921.554093,153.3166722,7303885.232,2940.816162,3106.695874
65,64,2500,1000000,340,1347.145142,1007.145142,828.2931665,256.7025332,2070732.916,820.2438965,1186.204028
66,65,2500,1000000,0,1008.959839,1008.959839,449.0432758,232.8501155,1122608.189,456.0701599,757.0997314
67,66,2500,1000000,987.927124,1908.507324,920.5802002,1451.30973,187.1095516,3628274.324,1448.999634,1709.994067
68,67,2500,1000000,2376.047119,3384.966797,1008.919678,2979.038888,243.4333379,7447597.219,2993.793579,3295.147949
69,68,2500,1000000,60,1072.007446,1012.007446,600.6480147,255.911318,1501620.037,613.5144653,926.4987793
70,69,2500,1000000,0,553.1726685,553.1726685,147.8241672,140.4074622,369560.418,101.9803925,372.1824463
71,70,2500,1000000,1094.897217,2284.644287,1189.74707,1728.316565,281.6751522,4320791.413,1736.375549,2094.784009
72,71,2500,1000000,223.6067963,1166.19043,942.5836334,751.1607085,232.2873871,1877901.771,761.5773315,1047.167566
73,72,2500,1000000,0,367.1511841,367.1511841,52.72506531,88.45737647,131812.6633,0,203.9607849
74,73,2500,1000000,1440,2183.574951,743.5749512,1847.18335,192.9909288,4617958.376,1881.329285,2080.865234
75,74,2500,1000000,340,1187.265747,847.2657471,791.569799,191.6679821,1978924.498,806.225769,1032.550232
76,75,2500,1000000,1140,2245.439941,1105.439941,1674.319859,285.483808,4185799.648,1674.694031,2064.751709
77,76,2500,1000000,380,1664.692139,1284.692139,1028.232749,284.1069749,2570581.873,1041.632324,1392.838867
78,77,2500,1000000,420,1552.41748,1132.41748,982.0534,286.7426731,2455133.5,980.815979,1373.215198
79,78,2500,1000000,1000,1999.699951,999.6999512,1512.347446,277.8101495,3780868.615,1520,1880.478699
80,79,2500,1000000,2108.459229,3264.65918,1156.199951,2728.136028,247.417822,6820340.07,2719.558838,3064.29104
81,80,2500,1000000,0,1172.006836,1172.006836,487.096026,244.9307278,1217740.065,441.1343842,848.7873535
82,81,2500,1000000,733.4848633,1801.887939,1068.403076,1398.973999,242.7329094,3497434.997,1449.689636,1678.689941
83,82,2500,1000000,0,599.3329468,599.3329468,300.4003469,134.0272785,751000.8674,297.3213806,481.6637878
84,83,2500,1000000,120,1101.635132,981.6351318,586.0761202,244.219698,1465190.3,563.2051392,940
85,84,2500,1000000,520.3844604,1563.201782,1042.817322,1038.02376,245.8378975,2595059.401,1028.49408,1385.265271
86,85,2500,1000000,0,968.2974854,968.2974854,353.3262797,239.0703243,883315.6992,345.25354,678.8225098
87,86,2500,1000000,0,644.0496826,644.0496826,238.7068259,175.0451689,596767.0647,202.4791489,500
88,87,2500,1000000,300,1612.079346,1312.079346,906.4198176,277.3094915,2266049.544,892.4123535,1292.795422
89,88,2500,1000000,0,382.0994568,382.0994568,118.8319754,89.35458335,297079.9384,101.9803925,241.6609192
90,89,2500,1000000,0,933.8093872,933.8093872,318.1236636,227.6173435,795309.1591,305.6139526,636.5532227
91,90,2500,1000000,0,575.847229,575.847229,216.5284193,124.4170543,541321.0484,203.9607849,380
92,91,2500,1000000,380,1486.606934,1106.606934,867.6259971,262.6584264,2169064.993,849.7058105,1244.025757
93,92,2500,1000000,0,540,540,224.0134822,134.000745,560033.7055,215.4065857,423.8395569
94,93,2500,1000000,20,1166.19043,1146.19043,605.5747186,261.8559535,1513936.796,605.3098145,961.0410767
95,94,2500,1000000,680,1533.231934,853.2319336,1148.85503,211.1135229,2872137.576,1177.115112,1401.855957
96,95,2500,1000000,1051.094727,2115.183105,1064.088379,1663.398533,220.4095175,4158496.331,1700.470581,1923.600818
97,96,2500,1000000,0,531.413208,531.413208,244.6384036,112.0337949,611596.0089,250.5992889,384.1874695
98,97,2500,1000000,0,707.6722412,707.6722412,194.7449558,170.2473562,486862.3894,156.2049866,447.2135925
99,98,2500,1000000,1531.012695,2901.723633,1370.710938,2232.532137,288.3607745,5581330.342,2243.211914,2610.386865
100,99,2500,1000000,0,752.8612061,752.8612061,330.4018502,156.0432548,826004.6255,316.2277527,554.7250793
101,100,2500,1000000,0,1189.621826,1189.621826,614.9742041,279.3197621,1537435.51,617.737793,995.4897583
102,101,2500,1000000,480,1563.713501,1083.713501,1009.490744,279.5046301,2523726.86,1009.257111,1389.244385
103,102,2496,998400,240,1026.255371,786.2553711,665.7563633,173.8355113,1661727.883,688.1860352,876.6983643
104,103,2500,1000000,300,1161.034058,861.0340576,751.1260792,186.6577955,1877815.198,765.6369629,992.9954773
105,104,2500,1000000,1210.784912,2207.351318,996.5664063,1676.096063,248.7232562,4190240.157,1663.009277,2028.812476
106,105,2500,1000000,60,1312.097534,1252.097534,697.5998711,277.3483366,1743999.678,721.1102295,1044.968774
107,106,2500,1000000,0,553.1726685,553.1726685,196.475038,129.2704114,491187.595,193.3569107,375.7658997
108,107,2500,1000000,1701.763794,2950.25415,1248.490356,2364.332782,280.1241577,5910831.956,2370.653809,2737.085938
109,108,2500,1000000,280,1451.206421,1171.206421,853.3118091,280.0909792,2133279.523,860,1225.446899
110,109,2500,1000000,0,1004.987549,1004.987549,411.7868792,269.4353469,1029467.198,404.4749756,780
111,110,2500,1000000,1420,2531.797852,1111.797852,1962.907949,288.3274027,4907269.872,1961.631958,2357.744629
112,111,2500,1000000,0,917.6055908,917.6055908,342.6280665,254.6465944,856570.1663,322.4902954,702.652063
113,112,2500,1000000,313.04953,1479.594482,1166.544952,1004.960582,258.3804751,2512401.454,1032.472778,1324.250696
114,113,2500,1000000,868.3317261,1883.08252,1014.750793,1373.080764,273.6937155,3432701.911,1380,1742.664673
115,114,2500,1000000,0,761.5773315,761.5773315,360.5471856,192.9475761,901367.964,360.5551147,626.1309937
116,115,2500,1000000,89.44271851,1158.79248,1069.349762,620.5580894,269.7574798,1551395.223,614.8156738,996.7141357
117,116,2500,1000000,1640.121948,2320.861816,680.7398682,2023.681462,157.1278954,5059203.656,2041.910889,2218.504077
118,117,2500,1000000,0,501.5974426,501.5974426,180.8849472,109.0827013,452212.3679,180,328.0243835
119,118,2500,1000000,850.881897,2060.873535,1209.991638,1545.283515,272.3074248,3863208.787,1569.840698,1886.796265
120,119,2500,1000000,439.0899658,1287.633545,848.5435791,965.6773813,179.3691037,2414193.453,980.2040405,1189.621826
