OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
60,59,2916,1005664.06,0,1188692,1188692,10355.52915,109541.8855,30196723,416,0,52,6,170
61,60,2916,1005664.06,0,121171,121171,1416.080933,11901.23899,4129292,461,0,47,2,209
62,61,2862,987040.6515,0,1012,1012,31.08385744,97.07546733,88962,272,0,60,3,63
63,62,2862,987040.6515,0,1581,1581,23.41194969,91.38668756,67005,217,0,70,3,49
64,63,2916,1005664.06,0,1059,1059,21.04801097,81.4767071,61376,180,0,77,3,37
65,64,2916,1005664.06,0,24867,24867,563.7623457,2942.914549,1643931,432,0,76,4,172
66,65,2862,987040.6515,0,1369,1369,34.58595388,138.2399907,98985,253,0,36,2,59
67,66,2916,1005664.06,0,740,740,22.20027435,75.5699084,64736,206,0,58,3,43
68,67,2916,1005664.06,0,5819,5819,98.27914952,564.8583155,286582,338,0,61,4,117
69,68,2916,1005664.06,0,2309,2309,72.29869684,268.1148862,210823,367,0,42,3,162
70,69,2916,1005664.06,0,32606,32606,625.6272291,3767.660835,1824329,402,0,80,5,166
71,70,2862,987040.6515,0,51415,51415,419.8885395,4189.446809,1201721,260,0,61,5,71
72,71,2916,1005664.06,0,7546,7546,142.2722908,933.671335,414866,265,0,68,3,61
73,72,2916,1005664.06,0,16196,16196,330.3134431,1909.100148,963194,408,0,84,14,140
74,73,2916,1005664.06,0,3939,3939,34.57064472,198.3459557,100808,219,0,67,3,45
75,74,2916,1005664.06,0,41631,41631,787.2335391,5524.088499,2295573,235,0,108,6,69
76,75,2916,1005664.06,0,496438,496438,9368.340535,63483.74691,27318081,555,0,128,13,329
77,76,2862,987040.6515,0,771,771,37.88120196,100.2843783,108416,302,0,79,3,96
78,77,2862,987040.6515,0,1178,1178,39.00244584,122.0451638,111625,288,0,74,4,77
79,78,2916,1005664.06,0,1777,1777,23.67626886,123.9597295,69040,169,0,55,2,29
80,79,2916,1005664.06,0,689,689,13.05075446,38.73848556,38056,148,0,56,2,26
81,80,2916,1005664.06,0,50059,50059,291.3628258,3135.497287,849614,311,0,40,2,76
82,81,2916,1005664.06,0,14106,14106,279.3209877,1617.863128,814500,374,0,65,3,125
83,82,2862,987040.6515,0,169942,169942,2642.079665,20860.11373,7561632,286,0,51,3,74
84,83,2916,1005664.06,0,308442,308442,5332.345679,38719.79401,15549120,456,0,65,6,209
85,84,2916,1005664.06,0,8564,8564,169.4927984,1009.73824,494241,298,0,53,4,73
86,85,2916,1005664.06,0,7782,7782,230.4224966,1054.419767,671912,469,0,70,5,212
87,86,2916,1005664.06,0,5054,5054,57.5308642,409.1438199,167760,208,0,64,3,50
88,87,2862,987040.6515,0,1874,1874,36.41160028,122.8630776,104210,272,0,80,4,83
89,88,2862,987040.6515,0,7610,7610,63.30188679,407.3330259,181170,288,0,72,5,78
90,89,2862,987040.6515,0,649469,649469,5254.650594,57899.89561,15038810,344,0,51,2,120
91,90,2916,1005664.06,0,26957,26957,520.090192,3541.128031,1516583,308,0,48,5,79
92,91,2916,1005664.06,0,1793,1793,43.90123457,123.8877284,128016,338,0,74,3,128
93,92,2916,1005664.06,0,53929,53929,1003.457133,6504.662311,2926081,271,0,56,3,55
94,93,2862,987040.6515,0,82027,82027,1765.773934,10913.86827,5053645,369,0,69,4,144
95,94,2916,1005664.06,0,197270,197270,3953.356653,26307.17709,11527988,411,0,97,5,136
96,95,2862,987040.6515,0,2009,2009,75.87141859,229.2617239,217144,381,0,42,7,192
97,96,2916,1005664.06,0,1438,1438,34.05384088,143.6177011,99301,240,0,50,3,56
98,97,2916,1005664.06,0,189236,189236,2155.979767,19817.45974,6286837,251,0,43,3,88
99,98,2916,1005664.06,0,14699,14699,370.1196845,1999.381848,1079269,270,0,52,3,57
100,99,2862,987040.6515,0,36147,36147,767.1558351,4465.301561,2195600,373,0,32,3,127
101,100,2916,1005664.06,0,224,224,16.35219479,29.39912244,47683,164,0,70,5,44
102,101,2916,1005664.06,0,15041,15041,214.0363512,1638.914821,624130,233,0,100,3,92
103,102,2912,1004284.548,0,10143,10143,73.46565934,507.2850809,213932,309,0,72,2,86
104,103,2862,987040.6515,0,2181,2181,44.03598882,183.7971694,126031,284,0,70,3,76
105,104,2916,1005664.06,0,834,834,28.98251029,88.87279968,84513,266,0,54,2,69
106,105,2809,968762.121,0,21969,21969,462.7903168,2676.469726,1299978,457,0,151,23,195
107,106,2916,1005664.06,0,8060,8060,135.1604938,899.8964757,394128,280,0,71,4,79
108,107,2916,1005664.06,0,478,478,26.43312757,63.02029514,77079,248,0,81,3,70
109,108,2916,1005664.06,0,44919,44919,851.2431413,4549.362415,2482225,501,0,122,14,340
110,109,2916,1005664.06,0,6925,6925,166.2458848,797.2448387,484773,377,0,85,7,152
111,110,2916,1005664.06,0,18163,18163,100.0757888,945.4771725,291821,229,0,53,2,40
112,111,2862,987040.6515,0,50382,50382,106.7945493,2094.829856,305646,200,0,82,4,61
113,112,2916,1005664.06,0,14459,14459,266.9478738,1553.459943,778420,368,0,59,4,108
114,113,2916,1005664.06,0,7349,7349,131.6831276,828.2025038,383988,317,0,53,2,110
115,114,2916,1005664.06,0,13820,13820,261.3213306,1549.929147,762013,300,0,78,4,73
116,115,2916,1005664.06,0,239,239,10.89849108,23.18707803,31780,124,0,64,2,33
117,116,2862,987040.6515,0,4088,4088,62.36408106,281.8293035,178486,305,0,86,9,79
118,117,2916,1005664.06,0,1132,1132,39.52194787,135.5636706,115246,259,0,73,4,67
119,118,2862,987040.6515,0,142986,142986,1193.33543,11736.93717,3415326,391,0,64,1,150
120,119,2916,1005664.06,0,38865,38865,698.2743484,4551.973795,2036168,415,0,60,6,164
121,120,2916,1005664.06,0,1530,1530,41.0202332,165.3709073,119615,273,0,87,3,69
122,121,2916,1005664.06,0,2660,2660,63.89300412,308.7001947,186312,266,0,44,2,63
123,122,2862,987040.6515,0,48475,48475,1003.009783,6114.36245,2870614,375,0,74,7,111
